Date,Open,High,Low,Close,Adj Close,Volume
2020-03-10,15.580000,15.710000,14.010000,15.680000,15.619196,240700
2020-03-11,15.140000,15.170000,13.030000,13.240000,13.188658,162200
2020-03-12,11.910000,12.030000,10.500000,11.010000,10.967305,174100
2020-03-13,11.800000,13.320000,10.220000,11.110000,11.066917,355700
2020-03-16,9.000000,9.860000,8.380000,8.740000,8.706108,336000
2020-03-17,8.950000,9.000000,7.750000,8.080000,8.048668,357000
2020-03-18,7.380000,7.840000,7.000000,7.230000,7.201963,252300
2020-03-19,7.160000,9.250000,6.520000,8.880000,8.845566,375000
2020-03-20,9.000000,9.390000,8.000000,8.420000,8.387349,293400
2020-03-23,8.600000,8.680000,8.010000,8.310000,8.277776,191600
2020-03-24,8.950000,10.090000,8.520000,9.980000,9.941299,233400
2020-03-25,10.150000,12.450000,10.000000,11.710000,11.664591,301600
2020-03-26,11.210000,13.070000,10.940000,11.480000,11.435482,236700
2020-03-27,11.130000,11.130000,10.160000,10.610000,10.568856,129400
2020-03-30,10.610000,10.890000,10.020000,10.630000,10.588779,124000
2020-03-31,10.510000,10.970000,9.760000,9.970000,9.931339,142700
2020-04-01,9.790000,9.790000,8.210000,8.650000,8.616457,214100
2020-04-02,8.510000,8.870000,8.240000,8.580000,8.546729,141200
2020-04-03,8.530000,8.580000,7.950000,8.210000,8.178163,136200
2020-04-06,8.780000,9.610000,8.700000,8.850000,8.815681,171800
2020-04-07,9.500000,9.920000,8.500000,8.640000,8.606496,224200
2020-04-08,8.870000,10.000000,8.710000,9.810000,9.771959,163900
2020-04-09,10.410000,11.350000,10.010000,10.350000,10.309865,193600
2020-04-13,10.290000,10.290000,8.620000,9.020000,8.985023,217300
2020-04-14,9.150000,9.870000,9.080000,9.340000,9.303782,148100
2020-04-15,9.100000,9.430000,8.500000,9.050000,9.014906,153700
2020-04-16,9.230000,9.440000,8.250000,8.840000,8.805720,229000
2020-04-17,9.420000,9.500000,8.800000,9.150000,9.114518,238300
2020-04-20,8.850000,9.220000,8.360000,8.440000,8.407270,209300
2020-04-21,8.200000,8.490000,7.800000,8.260000,8.227970,201900
2020-04-22,8.560000,8.610000,8.280000,8.310000,8.277776,73000
2020-04-23,8.360000,8.900000,8.310000,8.450000,8.417233,154700
2020-04-24,8.690000,8.740000,8.060000,8.480000,8.447116,112100
2020-04-27,8.670000,9.240000,8.480000,9.060000,9.024868,217500
2020-04-28,9.480000,10.710000,9.280000,10.440000,10.399515,356900
2020-04-29,10.990000,14.200000,10.990000,13.550000,13.497457,556500
2020-04-30,13.110000,13.390000,11.730000,12.530000,12.481411,229000
2020-05-01,11.980000,12.260000,10.800000,11.380000,11.335870,187100
2020-05-04,10.870000,11.770000,10.300000,11.220000,11.176491,167200
2020-05-05,11.510000,11.990000,10.350000,10.550000,10.509089,157500
2020-05-06,10.600000,10.930000,9.940000,10.240000,10.200291,146400
2020-05-07,10.510000,11.120000,10.360000,10.990000,10.947382,124300
2020-05-08,11.340000,12.390000,11.120000,11.970000,11.923583,237300
2020-05-11,11.910000,11.920000,11.000000,11.440000,11.395638,247400
2020-05-12,11.640000,11.840000,10.160000,10.170000,10.130563,262900
2020-05-13,10.420000,10.610000,8.880000,9.210000,9.174285,411100
2020-05-14,8.950000,9.540000,8.500000,9.140000,9.104557,271400
2020-05-15,9.000000,9.740000,8.850000,9.310000,9.273898,204900
2020-05-18,10.540000,12.390000,9.840000,11.530000,11.485289,763600
2020-05-19,11.300000,13.790000,11.030000,12.800000,12.750364,538900
2020-05-20,13.290000,14.400000,13.100000,13.790000,13.736525,520300
2020-05-21,13.740000,13.990000,12.820000,13.200000,13.148812,174000
2020-05-22,13.280000,13.600000,12.610000,13.390000,13.338077,173300
2020-05-26,14.400000,14.890000,13.630000,14.510000,14.453733,341200
2020-05-27,15.120000,16.430000,14.500000,15.830000,15.768615,481900
2020-05-28,16.250000,16.350000,14.280000,14.510000,14.453733,279900
2020-05-29,14.220000,14.690000,13.760000,14.490000,14.433810,133400
2020-06-01,14.440000,14.700000,14.030000,14.440000,14.384005,186100
2020-06-02,14.680000,14.890000,13.930000,14.240000,14.184780,113300
2020-06-03,14.650000,16.400000,14.560000,15.800000,15.738730,215200
2020-06-04,15.800000,17.160000,15.320000,16.510000,16.445978,181500
2020-06-05,18.030001,18.350000,17.049999,17.530001,17.462023,279200
2020-06-08,18.040001,19.180000,17.740000,18.330000,18.258921,201000
2020-06-09,17.110001,18.180000,16.680000,17.730000,17.661247,157900
2020-06-10,17.600000,17.690001,15.300000,15.470000,15.410010,197100
2020-06-11,13.970000,15.470000,13.670000,13.910000,13.856059,261000
2020-06-12,14.920000,15.460000,14.100000,14.750000,14.692802,222600
2020-06-15,13.750000,14.650000,13.520000,14.610000,14.553345,222100
2020-06-16,15.710000,16.600000,14.960000,15.650000,15.589313,127100
2020-06-17,15.570000,16.070000,15.420000,15.640000,15.609274,108400
2020-06-18,15.290000,16.430000,14.790000,15.760000,15.729037,170400
2020-06-19,16.129999,16.700001,14.620000,15.130000,15.100275,196200
2020-06-22,14.690000,15.320000,14.230000,15.180000,15.150177,121100
2020-06-23,15.600000,15.920000,14.690000,15.310000,15.279922,110200
2020-06-24,14.940000,14.940000,13.820000,14.580000,14.551355,135400
2020-06-25,14.300000,14.300000,13.430000,13.680000,13.653124,125800
2020-06-26,13.530000,13.910000,12.290000,12.630000,12.605186,269600
2020-06-29,12.820000,13.480000,12.380000,13.450000,13.423575,158400
2020-06-30,13.400000,14.030000,13.080000,13.860000,13.832770,103900
2020-07-01,13.970000,14.200000,13.250000,13.410000,13.383655,57100
2020-07-02,13.890000,14.190000,13.100000,13.210000,13.184048,95700
2020-07-06,13.620000,14.230000,13.420000,13.690000,13.663104,95400
2020-07-07,13.430000,13.530000,12.850000,12.920000,12.894617,73200
2020-07-08,12.790000,13.470000,12.640000,13.290000,13.263890,100900
2020-07-09,13.250000,13.250000,11.910000,11.910000,11.886601,141300
2020-07-10,11.960000,12.130000,11.150000,11.290000,11.267819,136600
2020-07-13,11.500000,11.560000,11.090000,11.110000,11.088173,238800
2020-07-14,11.050000,11.260000,10.590000,10.680000,10.659019,129100
2020-07-15,10.970000,11.530000,10.910000,11.000000,10.978389,286500
2020-07-16,10.920000,11.020000,10.670000,11.000000,10.978389,93300
2020-07-17,11.030000,11.510000,10.950000,11.250000,11.227898,241700
2020-07-20,11.220000,11.490000,10.800000,11.090000,11.068213,123100
2020-07-21,11.360000,11.720000,11.170000,11.450000,11.427505,120200
2020-07-22,11.300000,11.850000,11.300000,11.540000,11.517328,87700
2020-07-23,11.460000,11.940000,11.380000,11.780000,11.756856,74800
2020-07-24,11.640000,11.650000,11.130000,11.280000,11.257838,65700
2020-07-27,11.350000,11.630000,10.920000,11.340000,11.317721,62200
2020-07-28,11.240000,11.490000,11.120000,11.470000,11.447466,55300
2020-07-29,11.520000,12.680000,11.360000,12.670000,12.645108,153700
2020-07-30,12.340000,13.350000,12.130000,13.180000,13.154106,118800
2020-07-31,13.180000,13.180000,11.870000,12.080000,12.056267,112600
2020-08-03,12.140000,12.290000,11.580000,12.040000,12.016346,84100
2020-08-04,12.080000,12.630000,11.920000,12.620000,12.595206,51700
2020-08-05,12.850000,12.920000,12.400000,12.840000,12.814775,50500
2020-08-06,12.760000,13.240000,12.450000,13.000000,12.974460,43300
2020-08-07,13.040000,13.870000,12.830000,13.820000,13.792849,89700
2020-08-10,14.000000,15.000000,14.000000,14.540000,14.511435,145600
2020-08-11,18.000000,18.629999,15.810000,16.549999,16.517485,471000
2020-08-12,16.969999,17.830000,16.020000,16.799999,16.766993,195100
2020-08-13,17.000000,17.110001,16.280001,16.459999,16.427662,92700
2020-08-14,16.430000,17.090000,16.049999,16.790001,16.757015,73100
2020-08-17,16.750000,17.100000,16.110001,16.680000,16.647230,61500
2020-08-18,16.549999,16.670000,15.640000,16.110001,16.078350,79000
2020-08-19,15.830000,16.969999,15.830000,16.670000,16.637249,64900
2020-08-20,16.480000,16.730000,15.990000,16.270000,16.238035,58300
2020-08-21,16.170000,16.700001,16.010000,16.400000,16.367779,65500
2020-08-24,16.719999,16.980000,16.260000,16.559999,16.527466,75500
2020-08-25,16.620001,17.110001,16.309999,17.020000,16.986563,67400
2020-08-26,17.030001,18.559999,16.790001,18.010000,17.974617,164400
2020-08-27,18.020000,18.980000,18.000000,18.430000,18.393793,114200
2020-08-28,18.799999,19.650000,18.700001,19.530001,19.491631,86200
2020-08-31,19.530001,19.730000,18.719999,19.120001,19.082438,100400
2020-09-01,18.910000,19.549999,18.570000,19.469999,19.431747,91200
2020-09-02,19.410000,20.170000,19.020000,20.070000,20.030569,121500
2020-09-03,20.080000,20.360001,19.600000,20.070000,20.030569,92000
2020-09-04,20.650000,21.420000,20.020000,21.120001,21.078508,168700
2020-09-08,20.610001,21.850000,20.510000,21.170000,21.128408,264500
2020-09-09,21.219999,21.219999,19.270000,20.450001,20.409824,125000
2020-09-10,20.469999,21.370001,20.150000,20.360001,20.320002,80200
2020-09-11,20.480000,20.629999,20.129999,20.360001,20.320002,88300
2020-09-14,20.410000,20.650000,19.610001,19.889999,19.889999,60400
2020-09-15,19.940001,20.290001,19.490000,20.160000,20.160000,48100
2020-09-16,20.170000,21.110001,19.900000,20.200001,20.200001,69900
2020-09-17,19.750000,20.080000,18.879999,19.440001,19.440001,93000
2020-09-18,19.690001,19.990000,19.139999,19.740000,19.740000,76400
2020-09-21,18.629999,19.020000,18.030001,18.799999,18.799999,81700
2020-09-22,18.940001,20.120001,18.370001,19.840000,19.840000,99200
2020-09-23,19.959999,20.200001,18.010000,18.030001,18.030001,78000
2020-09-24,18.070000,18.830000,17.580000,18.620001,18.620001,90300
2020-09-25,18.530001,18.889999,17.889999,18.160000,18.160000,41700
2020-09-28,18.350000,19.850000,18.350000,19.410000,19.410000,92300
2020-09-29,19.320000,19.590000,19.010000,19.500000,19.500000,67600
2020-09-30,19.750000,20.530001,19.700001,20.400000,20.400000,90000
2020-10-01,20.760000,20.870001,19.809999,20.110001,20.110001,82400
2020-10-02,19.410000,20.639999,18.660000,20.500000,20.500000,63400
2020-10-05,20.110001,22.840000,20.110001,22.370001,22.370001,100400
2020-10-06,21.820000,23.459999,21.820000,22.570000,22.570000,99700
2020-10-07,23.010000,23.299999,22.590000,23.129999,23.129999,54600
2020-10-08,23.500000,25.110001,23.450001,24.639999,24.639999,102700
2020-10-09,24.820000,25.500000,24.299999,24.410000,24.410000,78900
2020-10-12,24.240000,24.660000,23.430000,24.430000,24.430000,60800
2020-10-13,24.080000,24.879999,23.700001,24.440001,24.440001,52600
2020-10-14,24.650000,24.809999,24.170000,24.370001,24.370001,61300
2020-10-15,23.980000,24.809999,23.660000,24.480000,24.480000,72600
